Designator,Value,1st Vendor Part No,Layer,Center-X,Center-Y,Rotation
ANT1,PCS.06A,PCS.06A,TopLayer,3372.048,1062.993,270
ANT2,9001997,9001997,TopLayer,1673.228,1282.48,180
C1,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,2550.197,1346.457,90
C5,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,2266.732,1635.827,180
C12,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,2739.173,1601.378,90
C33,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,2816.929,680.118,270
C36,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,2718.504,680.118,270
C37,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,2777.559,680.118,270
C41,33PF-0201-50V,GRM0335C1H330JA01D,TopLayer,1153.543,340.551,90
C10,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,2812.992,1705.709,0
C11,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,2812.992,1657.48,0
C40,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,1243.11,257.874,270
C42,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,1193.897,257.874,270
C50,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,1258.858,370.079,90
C51,22UF-0603-10V,CL10A226MP8NUNE,TopLayer,1505.906,349.409,0
C13,10NF-0201-10V,CL03A103KP3NNNC,TopLayer,2372.047,1820.866,0
C14,1UF-0603-25V,CC0603KRX5R8BB105,TopLayer,1368.11,450.788,180
C15,1UF-0603-25V,CC0603KRX5R8BB105,TopLayer,1444.882,535.433,270
C16,220PF-0603-50V,CL10C221JB81PNC,TopLayer,984.252,1374.999,90
C18,220PF-0603-50V,CL10C221JB81PNC,TopLayer,785.433,1078.74,0
C20,220PF-0603-50V,CL10C221JB81PNC,TopLayer,799.213,1580.708,0
C17,1NF-0402-50V,CL05B102JB5NNNC,TopLayer,555.118,1703.74,270
C2,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,2660.433,1454.724,270
C3,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,2625.984,1345.472,0
C26,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,2248.032,1248.032,90
C27,10UF-0603-6.3V,CL10A106KQ8NNNC,TopLayer,2260.827,687.008,180
C29,3.3PF-0402-50V,GJM1555C1H3R3WB01D,TopLayer,2984.252,935.039,180
C30,0R-0402,ERJ-2GE0R00X,TopLayer,3098.425,820.866,180
L6,0R-0402,ERJ-2GE0R00X,TopLayer,3099.409,865.157,0
C31,LQG15HS8N2J02D,LQG15HS8N2J02D,TopLayer,2984.252,899.606,180
C32,1.2PF-0402-50V,GJM1555C1H1R2BB01D,TopLayer,3041.338,799.212,270
C38,100NF-0402-50V,CL05B104KB54PNC,TopLayer,879.171,294.292,180
C39,8.2NF-0402-50V,CL05B822KB5NNNC,TopLayer,930.118,107.284,180
C4,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,2518.701,1346.457,90
C8,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,2854.331,1593.504,90
C9,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,2706.693,1601.378,90
C19,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,984.252,840.551,270
C21,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,625.984,1340.551,90
C23,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,2173.228,903.543,90
C25,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,2292.323,1220.472,270
C28,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,2338.583,685.039,90
C34,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,2879.921,680.118,90
C35,100NF-0201-6.3V,CL03A104KQ3NNNC,TopLayer,2848.425,680.118,90
C43,10UF-1206-50V,CL31A106MBHNNNE,TopLayer,753.15,181.102,90
C44,10UF-1206-50V,CL31A106MBHNNNE,TopLayer,686.024,584.646,270
C45,4.7UF-0805-50V,CL21A475KBQNNNE,TopLayer,743.11,451.772,180
C46,33PF-0603-50V,CL10C330JB8NNNC,TopLayer,901.575,517.716,0
C47,470PF-0402-50V,CL05B471KB5NNNC,TopLayer,1173.228,156.496,90
C48,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,1583.012,237.205,270
C49,1UF-0402-10V,CL05A105KP5NNNC,TopLayer,1674.212,254.922,90
C6,0R-0201,ERJ-1GN0R00C,TopLayer,2277.559,1710.63,90
C7,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,2920.276,1675.197,270
C22,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,2208.661,972.441,270
C24,4.7UF-0402-6.3V,CL05A475KQ5NRNC,TopLayer,2208.661,899.606,90
D1,4V7,MMSZ4688T1G,TopLayer,909.449,1281.496,90
D3,4V7,MMSZ4688T1G,TopLayer,817.52,1145.669,180
D4,4V7,MMSZ4688T1G,TopLayer,836.614,1011.811,180
D5,4V7,MMSZ4688T1G,TopLayer,830.709,1509.842,180
D6,4V7,MMSZ4688T1G,TopLayer,677.165,728.346,0
D14,STPS3L60U,STPS3L60U,TopLayer,868.11,625.0,180
D15,DFLS160-7,DFLS160-7,TopLayer,841.536,364.174,180
D16,SLD6S33A,SLD6S33A,TopLayer,458.07,357.283,180
D17,PMEG10010ELRX,PMEG10010ELRX,TopLayer,1364.173,238.189,0
D2,3V3,MMSZ3V3T1G,TopLayer,495.079,1718.504,90
D7,ESDL031-1BF4,ESDL031-1BF4,TopLayer,2161.521,175.142,90
D8,ESDL031-1BF4,ESDL031-1BF4,TopLayer,2161.521,247.976,90
D9,ESDL031-1BF4,ESDL031-1BF4,TopLayer,1949.907,195.811,90
D10,ESDL031-1BF4,ESDL031-1BF4,TopLayer,2240.261,268.646,90
D11,ESDL031-1BF4,ESDL031-1BF4,TopLayer,2239.277,183.016,90
D12,ESDL031-1BF4,ESDL031-1BF4,TopLayer,2240.261,368.055,90
D13,ESDL031-1BF4,ESDL031-1BF4,TopLayer,3000.104,370.024,90
DS1,APHHS1005LSECK/J3-PF,APHHS1005LSECK-J3-PF,TopLayer,228.346,559.055,180
FB1,120R-0402,BLM15PD121SN1D,TopLayer,2797.244,1610.236,180
FB2,330R-0603,BLM18PG331SN1D,TopLayer,793.307,517.716,0
L3,LQP03TN8N2J02D,LQP03TN8N2J02D,TopLayer,2265.748,1868.111,90
L4,8.2PF-0402-50V,GJM1555C1H8R2BB01D,TopLayer,3005.905,842.519,90
L7,XFL4020-332MEC,XFL4020-332MEC,TopLayer,1038.78,360.236,0
P1,OC-500-10011-RS1-12,OC-500-10011-RS1-12,TopLayer,280.512,1060.039,270
P2,532530370,532530370,TopLayer,1371.063,85.63,180
